Name_of_settler;;Native_soil;First_mention _ of_person_in_ Denmark;;Type_of_Religion;;Marital_Status_at_time_ of_immergration;;Number_of_chrilden_at_the_time_of_immigration;;After_settling_in_ Denmark;;gps_Longitude;;gps_Latitude ;
Herbelschmidt, Johann Adam;;Igelsbach Kurpfalz ;1759;;Reformed ;;Married ;;5;;Remained in Denmark ;;49,458996;;8,943975;
Herbelschmidt, Johann Nicolay;;Kurpfalz;1759;;Reformed ;;Married ;;0;;Remained in Denmark ;;49,408914;;8,107543;
Hermann, Philip;;Kraichgau Wüttemberg;1760;;Catholic ;;Married ;;3;;Travelpas to Russia ;;Na;;Na;
Herholdt, Johann Mathias;;Liebenstein Kurpfalz;1759;;Lutheran;;Married ;;0;;Remained in Denmark ;;50,767478;;10,848122;
Hess, Johann Conrad;;Erbach Hessen;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,657067;;8,999074;
Hess, Ulrich;;Württemberg;1760;;Lutheran;;Not mentioned ;;0;;Travelpas to Russia ;;48,767863;;9,227412;
Heyer, Gottlieb;;Not mentioned ;1760;;Reformed ;;Married ;;0;;Depated from the country;;Na;;Na;
Hochgenug, Christian;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,657067;;8,999074;
Hoel, Andreas Christoph;;Bodigheim Kurpfalz;1760;;Lutheran;;Married ;;5;;Died in Denmark ;;48,160452;;10,470120;
Hoel, Johann Georg;;Bodigheim Kurpfalz;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;48,160452;;10,470102;
Hofacker, Daniel ;;Not mentioned ;1760;;Catholic ;;Unmarried ;;0;;Depated from the country;;Na;;Na;
Hoffmann, Johannes;;Not mentioned ;1760;;Catholic ;;Not mentioned ;;0;;AWOL;;Na;;Na;
Huber, Christian Friderich;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;3;;Depated from the country;;49,408914;;8,107543;
Hubert, Abraham;;Durlach;1760;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,004343;;8,411935;
Härter, Georg;;Lützelssachsen Kurpfalz;1760;;Lutheran;;Married ;;1;;Travelpas to Russia ;;Na;;Na;
Härter, Jacob;;Kurpfalz;1760;;Lutheran;;Married ;;3;;Travelpas to Russia ;;49,408914;;8,107543;
Höpfner, Anton;;Würzburg ;1760;;Catholic ;;Not mentioned ;;1;;Depated from the country;;49,788914;;9,955043;
Jacob, Johann Michael;;Wilhelmsfeld Kurpfalz ;1760;;Reformed ;;Married ;;1;;Depated from the country;;49,471698;;8,756186;
Jeckel, Valentin;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;4;;Travelpas to Russia ;;49,408914;;8,107543;
Johann, Johann Michael;;Kurpfalz;1760;;Reformed ;;Unmarried ;;0;;Depated from the country;;49,408914;;8,107543;
Jung, Johannes ;;Hessen-Darmstadt;1760;;Lutheran;;Married ;;6;;Remained in Denmark ;;49,865108;;8,653898;
Jöck, Carl ;;Schriesheim Kurpfalz;1759;;Reformed ;;Married ;;0;;Depated from the country;;49,476097;;8,660093;
Jörder, Johann;;Rippenweier Kurpfalz;1760;;Reformed ;;Not mentioned ;;5;;Depated from the country;;49,506129;;8,707377;
Keil, Johann Peter;;Birkenau, Heimstedt Kurpfalz;1759;;Lutheran;;Married ;;0;;Went to Prussia ;;49,566712;;8,724608;
Keller, Johann Jost;;Mannheim Kurpfalz;1756;;Lutheran;;Married ;;4;;Remained in Denmark ;;49,483007;;8,467735;
Keller, Johann Michael;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Remained in Denmark ;;49,408914;;8,107543;
Kirschbaum, Mathias ;;Kurpfalz;1760;;Catholic ;;Not mentioned ;;1;;Remained in Denmark ;;49,408914;;8,107543;
Kleter, Conrad;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;2;;Depated from the country;;49,408914;;8,107543;
Kling, Johann Adam;;Hohen-Sachsen Kurpfals ;1760;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49,517549;;8,664526;
Kling, Johann Georg ;;Bammental Kurpfalz ;1760;;Reformed ;;Married ;;1;;Travelpas to Russia ;;49,532442;;8,777502;
Kling, Nicolay;;Kurpfalz;1760;;Reformed ;;Married ;;1;;Died in Denmark ;;49,408914;;8,107543;
Knedeler, Gottlieb;;Württemberg;1761;;Lutheran;;Married ;;4;;Travelpas to Russia ;;48,767863;;9,227412;
Knedeler, Johann Leonhard ;;Württemberg;1761;;Lutheran;;Married ;;3;;Depated from the country;;48,767863;;9,227412;
Knobst, Johann Adam ;;Württemberg;1760;;Lutheran;;Married ;;2;;Travelpas to Russia ;;48,767863;;9,227412;
Knutzen, Andreas;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;3;;Travelpas to Russia ;;49,408914;;8,107543;
Kraft, Anna Regina;;Rodau, Lichtenberg Hessen-Darmstadt ;1760;;Lutheran;;widow;;4;;Depated from the country;;49,770766;;8,803810;
